"id","first_name","last_name","team","position","photo"
1,"Alex","Abrines","Thunder","F",NULL
2,"Quincy","Acy","Nets","PF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6576.png&w=350&h=254"
3,"Steven","Adams","Thunder","C",NULL
4,"Arron","Afflalo","Kings","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3187.png&w=350&h=254"
5,"Alexis","Ajinca","Pelicans","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3410.png&w=350&h=254"
6,"Cole","Aldrich","Timberwolves","C",NULL
7,"LaMarcus","Aldridge","Spurs","PF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2983.png&w=350&h=254"
8,"Cliff","Alexander","Magic","PF",NULL
9,"Lavoy","Allen","Pacers","PF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6424.png&w=350&h=254"
10,"Tony","Allen","Grizzlies","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2367.png&w=350&h=254"
11,"Al","Aminu","Trail Blazers","SF",NULL
12,"Chris","Andersen","Cavaliers","C",NULL
13,"Alan","Anderson","Clippers","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6569.png&w=350&h=254"
14,"James","Anderson","Kings","SG",NULL
15,"Justin","Anderson","76ers","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2982340.png&w=350&h=254"
16,"Kyle","Anderson","Spurs","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2993874.png&w=350&h=254"
17,"Ryan","Anderson","Rockets","PF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3412.png&w=350&h=254"
18,"Giannis","Antetokounmpo","Bucks","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032977.png&w=350&h=254"
19,"Thanasis","Antetokounmpo","Knicks","SF",NULL
20,"Carmelo","Anthony","Knicks","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1975.png&w=350&h=254"
21,"Joel","Anthony","Spurs","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3247.png&w=350&h=254"
22,"Trevor","Ariza","Rockets","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2426.png&w=350&h=254"
23,"Darrell","Arthur","Nuggets","PF",NULL
24,"Omer","Asik","Pelicans","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3414.png&w=350&h=254"
25,"D","Augustin","Magic","PG",NULL
26,"Jeff","Ayres","Clippers","C",NULL
27,"Luke","Babbitt","Heat","SF",NULL
28,"Ron","Baker","Knicks","G","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2580349.png&w=350&h=254"
29,"Wade","Baldwin","Grizzlies","G","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136696.png&w=350&h=254"
30,"Leandro","Barbosa","Suns","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2166.png&w=350&h=254"
31,"JJ","Barea","Mavericks","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3055.png&w=350&h=254"
32,"Harrison","Barnes","Mavericks","F","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6578.png&w=350&h=254"
33,"Matt","Barnes","Warriors","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1765.png&w=350&h=254"
34,"Will","Barton","Nuggets","SG",NULL
35,"Brandon","Bass","Clippers","PF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2745.png&w=350&h=254"
36,"Nicolas","Batum","Hornets","SF",NULL
37,"Jerryd","Bayless","76ers","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3417.png&w=350&h=254"
38,"Aron","Baynes","Pistons","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2968439.png&w=350&h=254"
39,"Kent","Bazemore","Hawks","SF",NULL
40,"Bradley","Beal","Wizards","SG",NULL
41,"Malik","Beasley","Nuggets","G",NULL
42,"Michael","Beasley","Bucks","F","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3418.png&w=350&h=254"
43,"Marco","Belinelli","Hornets","SG",NULL
44,"DeAndre","Bembry","Hawks","F",NULL
